For N=20
x		y_analytical	y		z_analytical	z
_____________________________________________________________________________
1.000000	2.718282	2.718282	2.000000	2.000000
1.200000	4.780969	4.778089	1.666667	1.666132
1.400000	7.948194	7.939185	1.428571	1.427657
1.600000	12.679767	12.658873	1.250000	1.248766
1.800000	19.600866	19.558292	1.111111	1.109584
2.000000	29.556238	29.475851	1.000000	0.998193
2.200000	43.681087	43.536964	0.909091	0.907012
2.400000	63.493534	63.244900	0.833333	0.830987
2.600000	91.014931	90.598778	0.769231	0.766620
2.800000	128.926132	128.246582	0.714286	0.711414
3.000000	180.769974	179.683029	0.666667	0.663534
3.200001	251.213333	249.505188	0.625000	0.621609
3.400001	346.385315	343.741882	0.588235	0.584586
3.600001	474.313599	470.277496	0.555555	0.551650
3.800001	645.485779	639.396667	0.526316	0.522153
4.000000	873.571045	864.482788	0.500000	0.495582
4.200000	1176.347412	1162.912964	0.476190	0.471517
4.400000	1576.889038	1557.203003	0.454545	0.449617
4.600000	2105.087891	2076.469971	0.434783	0.429600
4.800000	2799.598877	2758.299072	0.416667	0.411229
5.000000	3710.326660	3651.123535	0.400000	0.394308
